Name,HR,R,RBI,SB,AVG,cluster_num
Tim Beckham,1,4,4,0,0.238,3
Trayce Thompson,1,5,5,1,0.176,3
Danny Santana,3,11,9,3,0.242,3
Jose Martinez,1,6,6,0,0.26,3
Steven Souza Jr.,3,9,8,1,0.222,3
Pavin Smith,3,15,14,1,0.252,3
Miguel Andujar,1,4,4,0,0.257,3
Trevor Larnach,1,2,2,0,0.249,3
Ben Gamel,2,17,14,2,0.254,3
Vidal Brujan,1,10,8,4,0.263,3
Jeter Downs,1,5,5,1,0.241,3
Harold Ramirez,1,6,6,0,0.273,3
Logan Morrison,5,13,15,0,0.22,3
Tyler Flowers,4,15,14,0,0.216,3
Greg Bird,5,15,17,0,0.242,3
Colton Welker,2,8,9,0,0.284,3
Matt Joyce,3,14,13,0,0.232,3
Luis Campusano,2,7,8,0,0.269,3
Matt Adams,3,7,8,0,0.223,3
Yermin Mercedes,0,1,2,0,0.244,3
Keibert Ruiz,1,4,4,0,0.273,3
Odubel Herrera,3,13,12,1,0.257,3
Tyler White,0,1,1,0,0.229,3
Isaac Paredes,2,9,9,0,0.255,3
Robinson Chirinos,4,12,11,0,0.215,3
Mike Ford,1,3,3,0,0.232,3
Nolan Jones,1,4,4,0,0.247,3
Nate Lowe,17,58,58,1,0.249,2
Niko Goodrum,12,51,43,10,0.225,2
Cesar Hernandez,10,67,55,6,0.276,2
Travis Shaw,14,40,46,2,0.221,2
Nomar Mazara,11,43,45,1,0.234,2
Gary Sanchez,22,51,56,1,0.222,2
Mike Zunino,16,38,47,0,0.193,2
Adam Eaton,10,66,49,8,0.259,2
Tommy La Stella,9,52,49,1,0.268,2
Myles Straw,4,67,40,27,0.256,2
Matt Carpenter,13,46,45,2,0.221,2
James McCann,15,50,51,3,0.235,2
Jake Cronenworth,8,57,48,9,0.256,2
Andrelton Simmons,8,64,55,8,0.262,2
Josh Fuentes,11,48,51,2,0.251,2
Nico Hoerner,6,56,49,9,0.258,2
Jurickson Profar,13,53,51,8,0.242,2
Isiah Kiner-Falefa,8,66,50,13,0.256,2
Jared Walsh,20,59,62,1,0.241,2
Oscar Mercado,9,51,40,16,0.231,2
Jorge Polanco,14,65,57,6,0.268,2
Ty France,16,55,57,2,0.251,2
Shogo Akiyama,8,53,41,7,0.255,2
Maikel Franco,15,42,49,1,0.248,2
Brendan Rodgers,14,59,62,4,0.261,2
Alexander Kirilloff,10,48,47,3,0.268,2
Renato Nunez,19,51,57,1,0.241,2
Isan Diaz,11,44,42,5,0.213,2
Mauricio Dubon,9,47,43,9,0.249,2
Willie Calhoun,17,55,59,1,0.241,2
Lorenzo Cain,8,65,54,15,0.268,2
Andrew Benintendi,12,65,57,10,0.252,2
Orlando Arcia,11,48,50,7,0.242,2
Buster Posey,8,52,50,2,0.268,2
Jason Heyward,14,63,59,4,0.245,2
Scott Kingery,13,51,50,9,0.23,2
Danny Jansen,13,47,44,2,0.233,2
Nick Solak,14,63,56,8,0.261,2
Josh Naylor,12,54,56,3,0.258,2
Gavin Lux,14,61,55,7,0.25,2
Freddy Galvis,17,57,57,5,0.239,2
Sam Hilliard,15,56,50,12,0.22,2
Raimel Tapia,8,69,56,15,0.276,2
Kolten Wong,10,69,54,15,0.262,2
Tom Murphy,16,38,45,1,0.211,2
Kevin Kiermaier,12,64,49,19,0.229,2
Avisail Garcia,11,44,44,5,0.263,2
Tommy Edman,11,64,52,13,0.262,2
D.J. Stewart,14,45,40,4,0.223,2
JaCoby Jones,15,61,54,10,0.224,2
Elvis Andrus,11,67,55,16,0.251,2
Christian Vazquez,13,53,48,6,0.257,2
Rio Ruiz,15,53,53,2,0.228,2
Robbie Grossman,11,61,49,8,0.243,2
Austin Nola,11,46,48,2,0.249,2
Jose Iglesias,10,64,58,8,0.276,2
J.P. Crawford,11,69,52,10,0.231,2
Nick Madrigal,3,67,54,15,0.281,2
Yandy Diaz,9,55,47,2,0.272,2
Kevin Newman,6,48,42,11,0.269,2
Gregory Polanco,18,55,60,8,0.221,2
Brandon Crawford,15,61,64,4,0.24,2
Tucker Barnhart,12,46,45,1,0.234,2
Franchy Cordero,13,54,44,8,0.228,2
Leody Taveras,11,60,47,13,0.247,2
Carson Kelly,13,41,47,0,0.235,2
