Name,HR,R,RBI,SB,AVG
Rougned Odor,21,55,57,9,0.219
Amed Rosario,8,50,43,11,0.27
Daniel Robertson,5,26,23,2,0.233
Stephen Piscotty,17,61,59,3,0.235
Willi Castro,11,56,49,7,0.254
Jed Lowrie,3,14,13,0,0.235
Austin Hays,18,61,58,8,0.247
Austin Dean,3,12,12,1,0.248
Mitch Moreland,18,50,55,1,0.223
Kevin Pillar,9,39,38,7,0.255
Ryan O'Hearn,2,8,9,0,0.225
Jake Cave,6,26,23,1,0.238
Yan Gomes,11,35,41,1,0.238
Todd Frazier,9,30,32,3,0.225
Manuel Margot,10,56,43,19,0.247
Adam Duvall,24,57,70,2,0.219
Adley Rutschman,3,11,10,0,0.235
Leody Taveras,11,60,47,13,0.247
David Dahl,12,47,44,6,0.241
Tucker Barnhart,12,46,45,1,0.234
Brandon Crawford,15,61,64,4,0.24
Pedro Severino,8,28,27,1,0.237
Yusniel Diaz,9,37,32,3,0.238
Kevin Plawecki,4,20,18,1,0.244
Taylor Ward,2,7,6,1,0.233
Wyatt Mathisen,1,5,5,0,0.226
Gregory Polanco,18,55,60,8,0.221
Kevin Newman,6,48,42,11,0.269
Zack Cozart,1,5,5,0,0.231
Ronald Guzman,5,17,17,1,0.229
Adam Haseley,6,32,30,3,0.251
Owen Miller,0,2,2,0,0.259
Nick Madrigal,3,67,54,15,0.281
Mike Tauchman,2,13,11,2,0.238
Alex Blandino,1,6,5,0,0.222
Yairo Munoz,0,2,1,0,0.254
Sherten Apostel,0,1,1,0,0.229
Andrew Waters,1,4,4,1,0.251
Brian Goodwin,7,26,26,4,0.227
Edwin Rios,7,21,24,1,0.222
Miguel Rojas,7,58,53,9,0.267
Sean Murphy,13,44,44,1,0.221
Joey Wendle,7,44,39,9,0.254
Christin Stewart,2,6,6,0,0.22
Daniel Johnson Jr.,6,26,25,4,0.241
Johan Camargo,5,21,22,0,0.245
Max Stassi,12,39,39,0,0.219
Matt Kemp,7,21,24,0,0.233
Ryan McBroom,2,7,8,0,0.237
Andres Gimenez,7,47,36,15,0.252
Taylor Walls,0,2,2,1,0.239
Curt Casali,5,18,19,1,0.225
Jon Berti,6,46,30,15,0.24
Phillip Ervin,0,1,1,0,0.235
Rylan Bannon,3,12,11,1,0.233
Joshua Jung,1,6,5,0,0.25
Yadiel Hernandez,1,2,2,0,0.238
Yadier Molina,10,44,45,4,0.256
Franchy Cordero,13,54,44,8,0.228
J.P. Crawford,11,69,52,10,0.231
Jonathan Lucroy,2,12,12,0,0.248
Brent Rooker,4,13,13,0,0.221
Niko Goodrum,12,51,43,10,0.225
Pablo Sandoval,1,2,3,0,0.236
Francisco Mejia,7,23,26,1,0.24
Jarren Duran,3,28,20,7,0.257
Matt Thaiss,1,4,4,0,0.226
Nick Ahmed,17,73,70,8,0.241
James McCann,15,50,51,3,0.235
Isiah Kiner-Falefa,8,66,50,13,0.256
Jason Kipnis,2,7,7,1,0.227
LaMonte Wade Jr.,1,4,3,0,0.228
Elias Diaz,7,38,39,1,0.256
William Contreras,1,7,7,0,0.25
Josh Fuentes,11,48,51,2,0.251
Josh Reddick,8,41,38,3,0.245
Matt Beaty,4,21,21,1,0.246
Neil Walker,1,6,6,0,0.226
Evan White,21,67,68,4,0.229
Caleb Raleigh,1,3,4,0,0.219
Victor Reyes,5,39,31,10,0.263
Willians Astudillo,1,3,3,0,0.263
Jonathan Villar,7,39,27,16,0.24
John Nogowski,1,3,3,0,0.239
Zack Collins,4,15,15,0,0.197
Ramon Urias,1,4,4,0,0.231
Derek Fisher,2,7,6,1,0.212
Nico Hoerner,6,56,49,9,0.258
Andrelton Simmons,8,64,55,8,0.262
Andrew Knapp,3,16,14,1,0.224
Welington Castillo,2,5,6,0,0.23
Omar Estevez,1,3,3,0,0.244
Myles Straw,4,67,40,27,0.256
Gavin Sheets,1,2,2,0,0.232
Chad Pinder,11,38,38,1,0.231
Jo Adell,7,26,25,2,0.23
Nomar Mazara,11,43,45,1,0.234
Lewin Diaz,3,8,10,0,0.234
Manny Pina,6,21,25,1,0.232
Scott Heineman,0,1,1,0,0.236
Mark Payton,0,2,2,0,0.23
Stuart Fairchild,1,6,6,1,0.235
Austin Barnes,5,26,22,3,0.226
Eric Sogard,2,13,12,1,0.243
Chas McCormick,4,22,19,3,0.238
Rio Ruiz,15,53,53,2,0.228
Bobby Bradley,3,9,11,0,0.209
Ernie Clement,0,1,1,0,0.267
Stephen Vogt,5,20,21,1,0.229
Bradley Zimmer,2,7,6,2,0.215
Tyler Naquin,0,2,2,0,0.238
Elvis Andrus,11,67,55,16,0.251
JaCoby Jones,15,61,54,10,0.224
Jace Peterson,1,3,3,1,0.226
Cameron Maybin,2,13,10,3,0.233
Zach McKinstry,1,8,7,1,0.233
Ryan McKenna,0,1,1,0,0.234
Andrew Knizner,5,21,22,1,0.245
Jason Castro,8,28,28,1,0.205
Kevin Kiermaier,12,64,49,19,0.229
Josh Harrison,5,23,22,3,0.245
Tom Murphy,16,38,45,1,0.211
Max Moroff,1,2,2,0,0.207
Victor Caratini,5,24,25,1,0.237
Joe Panik,1,10,9,1,0.243
Nick Williams,0,1,1,0,0.229
Luis Rengifo,1,5,4,1,0.233
Sam Hilliard,15,56,50,12,0.22
Freddy Galvis,17,57,57,5,0.239
Zach Reks,0,1,1,0,0.23
Guillermo Heredia,0,1,1,0,0.237
Dwight Smith Jr.,0,1,1,0,0.23
Jordy Mercer,1,2,2,0,0.244
Zachary Short,1,4,3,0,0.209
Jaylin Davis,0,2,2,0,0.225
Brock Holt,2,15,12,1,0.24
Ender Inciarte,3,27,19,7,0.249
Matt Wieters,3,10,11,0,0.22
Sam Haggerty,1,3,2,1,0.22
Luis Torrens,7,29,30,1,0.238
Hanser Alberto,3,24,25,2,0.269
Scott Kingery,13,51,50,9,0.23
Patrick Mazeika,0,1,1,0,0.226
Jesus Sanchez,0,1,1,0,0.24
Logan Forsythe,2,10,9,0,0.213
Jorge Alfaro,9,33,34,3,0.234
Luis Garcia,5,32,31,4,0.262
Dom Nunez,7,24,25,2,0.212
Leury Garcia,3,20,16,4,0.257
Justin Williams,4,18,18,1,0.238
Connor Wong,0,1,1,0,0.223
Adalberto Mondesi,17,88,57,52,0.236
Joshua Palacios,1,6,4,1,0.233
Marcus Wilson,0,1,1,0,0.217
Kyle Farmer,9,39,40,3,0.234
Mauricio Dubon,9,47,43,9,0.249
Chris Owings,2,10,9,2,0.236
Greg Garcia,1,7,5,0,0.227
Isan Diaz,11,44,42,5,0.213
Kyle Higashioka,7,18,21,0,0.215
Scott Schebler,0,1,1,0,0.212
Bret Boswell,2,6,6,1,0.224
Blaze Tom,5,22,20,3,0.219
Phillip Evans,5,27,27,2,0.234
Lucas Raley,0,2,2,0,0.223
Mallex Smith,0,1,0,0,0.242
Santiago Espinal,0,3,3,0,0.249
Khalil Lee,0,1,1,0,0.217
Kevan Smith,1,5,5,0,0.242
Edward Olivares,3,18,17,4,0.24
Chris Shaw,0,1,1,0,0.218
Taylor Jones,0,1,1,0,0.217
Tres Barrera,0,1,1,0,0.233
Robel Garcia,1,2,2,0,0.201
Orlando Arcia,11,48,50,7,0.242
Lucius Fox,0,4,3,1,0.235
Jorge Ona,0,1,1,0,0.227
Jeffrey Bleday,1,3,4,0,0.227
Andy Ibanez,1,4,4,0,0.234
Martin Maldonado,11,40,40,1,0.211
Jake Fraley,5,23,20,6,0.224
Chris Herrmann,0,2,2,0,0.209
Akil Baddoo,1,2,2,0,0.208
Franklin Barreto,5,19,17,3,0.217
Nicholas Gordon,0,2,1,0,0.245
Travis Blankenhorn,1,2,2,0,0.223
Shed Long,7,33,29,5,0.224
Luis Gonzalez,1,4,3,0,0.228
Tony Kemp,4,40,28,8,0.235
Jose Peraza,0,2,2,1,0.253
Anderson Tejeda,2,8,8,1,0.22
Jose Marmolejos,3,11,12,0,0.227
Andrew Stevenson,4,28,22,5,0.238
Lane Thomas,5,20,17,4,0.218
Phil Gosselin,1,6,5,0,0.233
Mickey Moniak,1,6,6,1,0.234
Deivy Grullon,1,3,3,0,0.222
Michael A. Taylor,8,34,31,9,0.223
Chad Tromp,0,1,1,0,0.225
Jake Marisnick,9,33,29,8,0.215
Dustin Fowler,8,34,33,7,0.233
Albert Almora Jr.,4,19,19,1,0.247
Kyle Holder,3,18,17,1,0.239
Yolmer Sanchez,4,31,23,4,0.238
Luis Guillorme,2,19,16,2,0.237
Adam Engel,6,31,25,6,0.225
Oscar Mercado,9,51,40,16,0.231
Mike Zunino,16,38,47,0,0.193
Joey Bart,2,8,9,0,0.23
Mark Mathias,0,1,1,0,0.222
Gerardo Parra,2,11,10,2,0.242
Kevin Smith,0,1,1,0,0.216
Max Schrock,1,4,3,0,0.242
Kramer Robertson,0,1,1,0,0.225
Jared Oliva,1,10,8,3,0.233
Breyvic Valera,0,3,2,0,0.24
Ehire Adrianza,0,2,2,0,0.233
Jonathan Davis,1,5,4,1,0.216
Hernan Perez,0,2,2,0,0.237
Steven Duggar,1,9,7,1,0.229
Daz Cameron,2,11,9,2,0.218
Estevan Florial,0,1,1,0,0.212
Jacob Stallings,8,33,39,0,0.232
Connor Chatham,0,3,3,0,0.254
Jahmai Jones,5,29,24,5,0.228
Sean Rodriguez,1,3,3,0,0.193
Donnie Walton,0,3,2,0,0.231
Ildemaro Vargas,1,11,11,1,0.25
Brett Phillips,2,8,7,2,0.199
Jasrado Chisholm,7,22,21,4,0.206
Matt Reynolds,0,1,1,0,0.223
Jake Rogers,4,12,12,1,0.201
Cedric Mullins II,4,21,15,5,0.23
Cole Tucker,5,34,29,7,0.232
Taylor Trammell,4,22,17,4,0.213
Jacob Nottingham,5,15,17,1,0.207
Danny Mendick,2,9,8,1,0.228
Delino DeShields,2,16,8,6,0.228
Thairo Estrada,1,7,6,1,0.238
DJ Peters,0,1,1,0,0.201
Mike Freeman,0,1,1,0,0.229
Jason Martin,0,1,1,0,0.225
Will Craig,0,1,1,0,0.214
Edmundo Sosa,2,13,12,1,0.241
Jose Briceno,2,5,6,1,0.224
Sheldon Neuse,2,9,9,0,0.231
Pat Valaika,6,17,18,1,0.22
Blake Rutherford,0,1,1,0,0.232
Brandon Drury,0,1,1,0,0.223
Alex Jackson,5,14,16,0,0.201
Alexander De Goti,0,1,1,0,0.227
Patrick Higgins,0,2,2,0,0.229
Kyle Garlick,1,3,3,0,0.211
Vimael Machin,1,10,9,0,0.23
